text,predicate_answer,framenet_answer
On the effect of Fasciola hepatica toxins on brucellar GENE PHENOTYPE.,5,3
On GENE of various PHENOTYPE associated with the intake of food in patients after gastric resection.,1,3
METABOLITE SIDE_EFFECT test following lumbar sympathectomy.,9,4
The cortisone derivative COMPOUND & COMPOUND in therapy of tuberculosis.,6,4
Results of the use of COMPOUND in late PHENOTYPE.,6,4
Salmonelloses in children. I. Course of disease in PHENOTYPE PHENOTYPE.,7,6
Amino acid composition of GENE in the developing human GENE.,3,5
Effect of COMPOUND in experimental SIDE_EFFECT & the formation of extrathyroidal thyroxin.,11,2
Increased activity of some COMPOUND enzyme systems in SIDE_EFFECT.,11,2
Age related differences in the association of GENE DNA and GENE.,2,5
Acute PHENOTYPE and its repeated interruption in suicide attempts with illuminating GENE.,7,6
The influence of METABOLITE on PHENOTYPE of the lower extremities.,11,2
Patterns of COMPOUND and METABOLITE metabolism during ion exchange treatment of preeclamptic toxemia.,6,4
The effect of SIDE_EFFECT and of ergosterol on the brain and GENE calcium of young rats.,2,5
Treatment of syphilis with COMPOUND associated with PHENOTYPE therapy.,9,4
Oral COMPOUND in PHENOTYPE.,6,4
Effects of substituted sulfonylureas on GENE PHENOTYPE and liver tissue.,2,5
Activation of thiamine pyrophosphate phosphohydrolase of GENE GENE by ATP.,2,5
Induction of BIOLOGICAL_PROCESS in the climacteric SIDE_EFFECT by desoxycorticosterone acetate.,7,6
Effects of norethynodrel and mestranol on pituitary COMPOUND in the female GENE.,6,4
Structural similarity of congenital fistulas and PHENOTYPE of the neck with special reference to their PHENOTYPE.,3,5
A simplified ultramicro Kjeldahl method for the estimation of GENE and total nitrogen in fluid samples of less than 1-0 GENE.,3,5
The significance of PHENOTYPE occurring in patients with PHENOTYPE of the prostate.,2,5
Use of milontin in treating mental patients with PHENOTYPE PHENOTYPE.,8,5
Liver GENE in transplantable Crocker's sarcoma in GENE.,1,3
On a case of PHENOTYPE of sternal PHENOTYPE.,2,5
Influence of GENE on results of allergization in guinea GENE.,6,4
Use of phenylbutazone GENE salt (P 241) in the treatment of PHENOTYPE in childhood.,6,4
It seemed possible that the excessive production of 7S PFC and antibodies in the irradiated nonimmune recipients was caused by the absence of PHENOTYPE inhibition of the immune response by MOLE_FUNCTION.,31,2
Studies on diffusion PHENOTYPE; changes in GENE function in dogs.,1,3
Sensory BIOLOGICAL_PROCESS of PHENOTYPE sclerae in human adult.,1,3
"Spike discharges (""SIDE_EFFECT potentials"") in the electroencephalogram in ""vegatative SIDE_EFFECT."".",4,4
The PHENOTYPE in maternal and neonatal blood samples in FINDINGS and in cases suspected of placental insufficiency.,4,4
Suppurative processes of the bone following PHENOTYPE and paraPHENOTYPE infections; case of fistulous PHENOTYPE of the ribs.,3,5
A charge-transfer interpretation of the interactions of GENE with COMPOUND and carbon monoxide.,5,3
Some observations on METABOLITE and electrolyte metabolism in SIDE_EFFECT.,11,2
Tests for treatment of cancers of the larynx and PHENOTYPE in humans by the synthetic METABOLITE.,2,5
Uncontrolled vomiting in SIDE_EFFECT in a patient with a PHENOTYPE.,1,3
Utilization of labelled fats in the diagnosis of diseases of the GENE and GENE.,3,5
Control of GENE in the perfused rat GENE by the intracellular concentration of acetyl-coenzyme A.,5,3
Therapy of chronic purulent PHENOTYPE with the proteolytic enzyme GENE.,9,4
Effect of PHENOTYPE on the heart and PHENOTYPE.,3,5
Experimental contribution to the study of asbestos PHENOTYPE. Pneumoconiotic activity of COMPOUND asbestos in rats.,8,5
Experiences with a summer GENE for SIDE_EFFECT children and youth.,1,3
The effect of COMPOUND on the concentration of norMETABOLITE and METABOLITE in the heart.,5,3
Symptomatology and traumatic etiology of SIDE_EFFECT of abdominal GENE.,3,5
The peripheral BIOLOGICAL_PROCESS of the vessels of the PHENOTYPE of the rabbit.,2,5
Diffuse interstitial PHENOTYPE of the lungs producing the alveolar-capillary block GENE.,2,5
SIDE_EFFECT of the spleen in the course of Bourneville's PHENOTYPE.,2,5
The effect of SIDE_EFFECT on the chemical composition of GENE cardiac muscle.,13,2
The FINDINGS of virus SIDE_EFFECT with special reference to mumps-meningoencephalitis.,1,3
Analytical PHENOTYPE research with the Rauwolfia alkaloids COMPOUND and serpentine.,8,5
Effects of epinephrine and l-nor-epinephrine on GENE excretion of solutes during mannitol SIDE_EFFECT in the hydropenic dog.,1,3
Action of papain associated with iron and ascorbic acid in the treatment of PHENOTYPE caused by COMPOUND.,12,2
Since COMPOUND and other GENE insecticides are being used extensively.,8,5
Provocative PHENOTYPE for the diagnosis and treatment of certain canine PHENOTYPE.,1,3
Localization and importance of GENE in the uterus of laying-hens. (Contributions to the biochemistry of GENE shell formation. I).,3,5
False PHENOTYPE of the paranasal PHENOTYPE.,3,5
Comparative study of prenatal and perinatal PHENOTYPE encephalopathies (PHENOTYPE.,3,5
Methods for the treatment of SIDE_EFFECT of the hip joint with articular PHENOTYPE.,3,5
Results of METABOLITE injection into the gasserian PHENOTYPE in trigeminal neuralgia.,9,4
SIDE_EFFECT pigmentosum with spinocellular carcinoma on the lips and PHENOTYPE of an 11 year old imbecil.,3,5
The enzyme-membrane relationship in COMPOUND induction of synthesis of drug-metabolizing enzyme system and PHENOTYPE of endoplasmic membranes has been further studied.,9,4
Effect of mercury on renal tubular transfer of p-aminohippurate and COMPOUND in GENE.,5,3
Further observations on the effect of x-irradiation on the glycogen PHENOTYPE and histology of the rabbit GENE.,2,5
Case of GENE tuberculosis manifested as SIDE_EFFECT with postresection recurrent ulcer.,3,5
Report on PHENOTYPE with balneological treatment of PHENOTYPE of the upper airways.,6,4
Subcellular distribution of pyrocatecholamines in heart and METABOLITE glands of guinea GENE after preliminary treatment with l-alpha-methyldopa.,2,5
Research on anti-leukocyte fluorescent antibodies in PHENOTYPE and other PHENOTYPE.,11,2
On the characteristics of GENE GENE sulfhydryl groups in patients with rheumatism.,3,5
Deficiency of beta-galactosidase and alpha-mannosidase--primary enzyme defects in PHENOTYPE and a new PHENOTYPE?.,11,2
Studies on the effect of COMPOUND on nucleic acid metabolism in COMPOUND 12-deficient chick liver.,13,2
Chronic SIDE_EFFECT with METABOLITE and behavior of muscle action potential: electromyographic findings in rabbits.,6,4
Mechanism of the GENE induced by METABOLITE (furadantin); further observations on the incidence and significance of primaquine-sensitive red cells.,8,5
Solubility of COMPOUND in the presence of excess chloride or METABOLITE.,7,6
Mycotic PHENOTYPE of PHENOTYPE to thoracic surgeons.,8,5
Effect of METABOLITE on mucoprotein secretion by gastric antrum of dogs: pathogenesis of steroid SIDE_EFFECT.,5,3
Inhibitory effect of nitrogen mustard (GENE beta-chloroethyl MOLE_FUNCTION) on lesions of experimental serum hypersensitiveness.,8,5
Treatment of early SIDE_EFFECT with 5 day COMPOUND in oil and wax alone and combined with an arsenoxide derivative.,7,6
Lymphatic leukemia with rare associated PHENOTYPE in a child; Mikulicz syndrome and PHENOTYPE.,1,3
SYMPTOMS due to pyridoxine deficiency in GENE.,12,2
On the problem of trichomonas SIDE_EFFECT in FINDINGS.,1,3
Sulfanylurea and hepatic damage in the normal rat and the rat with PHENOTYPE caused by COMPOUND.,1,3
Corneal arcus and GENE lipids were studied in 121 GENE.,1,3
There GENE no difference in insulin degradation in GENE samples from obese and lean mice when the results were related to the protein content of the supernatants.,3,5
Disorders of PHENOTYPE circulation and PHENOTYPE in dysplasia of the hip.,7,6
Late cryptogenic SIDE_EFFECT developing slowly and presenting a benign appearance; necessity for discarding former classifications because of PHENOTYPE in prothrombin time and an excess of inhibitors.,12,2
On the blood sedimentation reaction in PHENOTYPE and neoplasias using the temperature GENE technic.,4,4
Dissociation of potassium and acetylcholine PHENOTYPE of frog muscle produced by isotonic COMPOUND.,12,2
Generalized osteosclerosis in PHENOTYPE of blood PHENOTYPE.,7,6
The ribonucleic acid (GENE) and deoxyribonucleic acid (DNA) content of the membranes GENE 9.0 to 13.7% and 0.3 to 0.8%.,2,5
The effect of sodium azide on PHENOTYPE of rat skeletal muscle and GENE cortex in vitro.,13,2
An experimental study of GENE PHENOTYPE in the rabbit.,1,3
Metastatic cancer of the left GENE PHENOTYPE to rectosigmoid cancer.,2,5
Intracellular distribution of METABOLITE in rat GENE.,3,5
A particulate preparation from GENE GENE required FAD for optimum activity at pH8.5; K(m) was 3.8x10(-3)m; K(FAD) was 1.4x10(-7)m and the reaction was strongly inhibited by p-chloromercuribenzoate and phenylmercuric acetate.,2,5
Thrombinogenesis and GENE GENE.,8,5
The effect of METABOLITE on experimental SIDE_EFFECT.,13,2
The in vivo METABOLITE BIOLOGICAL_PROCESS of radioactive etiocholanolone and androsterone by the dog kidney.,5,3
Effect of ferritin on GENE PHENOTYPE.,5,3
The human GENE in GENE culture.,2,5
Effect of trans-2-phenylcycloproplylamine upon norepinephrine concentGENEion and monamine oxidase activity of GENE GENE.,2,5
Incorporation of COMPOUND into highly polymerized GENE in male accessory sex glands.,3,5
A case of degenerative syndrome of the distonic type with cerebellar onset corresponding to a spino-striated abiotrophia with PHENOTYPE of the olfactory GENE.,1,3
The concentGENEions of GENE- and di-phosphoinositide in GENE brain are not changed by insulin-hypoglycaemia or elecGENEcal stimulation.,2,5
Temporary tetraparesis caused by SIDE_EFFECT of the odontoid process of the epistropheus. 35-year PHENOTYPE.,12,2
A new technique for the simultaneous recording of COMPOUND consumption and contraction of muscle: the effect of METABOLITE on cat papillary muscle.,13,2
Electrolytes in GENE and PHENOTYPE in pregnancy.,3,5
On the disorders of GENE BIOLOGICAL_PROCESS in patients with thermal burns.,1,3
Adrenal GENE hormones and pyridoxine in therapy of SIDE_EFFECT.,6,4
Effect of COMPOUND and other sleeping aids on the central nervous control of blood circulation in PHENOTYPE.,6,4
Considerations on medical treatment with hyaluronidase in SIDE_EFFECT caused by METABOLITE.,6,4
A twenty-year appraisal of GENE vaccination in the control of SIDE_EFFECT.,6,4
A starch GENE electrophoresis technique for the identification of sheep SIDE_EFFECT.,2,5
Effect of submerged technic of irrigation on modifications of gas BIOLOGICAL_PROCESS in PHENOTYPE; preliminary communication.,6,4
Estimation of insulin efficacy in GENE by the response of GENE insulin and glucose to intravenous tolbutamide.,11,2
Mumps SIDE_EFFECT in childhood and COMPOUND therapy.,9,4
Microscopic and autoradiographic studies of PHENOTYPE of uranium in the rat GENE.,3,5
On a case of transitory SIDE_EFFECT caused by SIDE_EFFECT during prolonged isoniazid treatment.,12,2
Diagnostic value and meaning of thermocoagulation (GENE potassium cyanate) of serum proteins in PHENOTYPE and other diseases of the mouth.,11,2
Bile-Salts (Glyco- and Tauro-Cholate of METABOLITE) in their Relation to the Secretion of METABOLITE.,13,2
Use of human GENE in vitro test for PHENOTYPE of corynebacterium diphtheriae.,2,5
A critical analysis of local PHENOTYPE as an agent for the relief of GENE in vaginal delivery.,6,4
Sensitization with a protein conjugated with a hapten such as picryl COMPOUND (Pi) or GENE (DFB) resulted in delayed hypersensitivity to the homologous conjugate.,12,2
Contact dermatitis caused by industrial use of hydrazine derivatives with group hypersensitivity to COMPOUND (Apresoline) and isoniazid (METABOLITE).,8,5
Our experience in the therapy of PHENOTYPE with METABOLITE.,6,4
Results of SIDE_EFFECT in SIDE_EFFECT patients.,1,3
Countertransport of 3-O-methyl COMPOUND in incubated rat epididymal adipose GENE.,3,5
Dysphagia due to a diaphragm-like localized narrowing in the lower PHENOTYPE (PHENOTYPE).,3,5
The reaction of the antibody to GENE collagen with its GENE in the kidney is a primary factor in the production of the renal glomerular injury which occurs in GENEs prepared with adjuvant.,2,5
Influence of 6 alpha-methyl-17 alpha-hydroxyprogesterone COMPOUND on GENE secretion.,3,5
Studies in histochemistry: quantitative histological PHENOTYPE of COMPOUND in adrenal glands of the cow.,3,5
A comparison of antidiarrhoeal preparations in PHENOTYPE in general PHENOTYPE.,6,4
Nonunion and malunion of PHENOTYPE of the lower extremity treated by medullary PHENOTYPE.,3,5
Evidence for the important role of COMPOUND residue in codon recognition of GENE alanine tRNA.,2,5
Effect of tryptophan and lysine poor diet on METABOLITE BIOLOGICAL_PROCESS.,5,3
Some effects upon the liver of complete arterialization of its PHENOTYPE. III. Acute vascular SIDE_EFFECT.,13,2
Permanent effects of estradiol on BIOLOGICAL_PROCESS of the developing GENE vagina.,2,5
Studies on the cytochemistry of the phosphatases of the leukocytes in FINDINGS. I. GENE of granulocytes--fundamental methods and normal values.,2,5
Primary resection without anastomosis for SIDE_EFFECT of the sigmoid PHENOTYPE with obstruction.,2,5
Urinary METABOLITE titers in a patient with feminizing PHENOTYPE.,1,3
Structural and activity identity of GENE from pig GENE and bovine lens.,22,1
Intractable PHENOTYPE during SIDE_EFFECT successfully treated by peritoneal dialysis.,7,6
The antagonistic effect acetylcholine on block of GENE conduction in the rabbit serum induced by COMPOUND.,12,2
A guide to the treatment of PHENOTYPE (pressure) ulcers in SIDE_EFFECT.,7,6
The action of narcotics on GENE PHENOTYPE.,1,3
Treatment of GENE SIDE_EFFECT from the viewpoint of the phlebologist.,3,5
The time-varying elastic properties of the left GENE GENE.,2,5
The treatment of SIDE_EFFECT of the esophagus: a comparison of SIDE_EFFECT and x-ray.,6,4
Relapse of vivax malaria treated with primaquine and report of one case of SIDE_EFFECT (PHENOTYPE) due to primaquine.,12,2
Our PHENOTYPE with endoxan in the treatment of otorhinolaryngological PHENOTYPE.,6,4
Effect of high temperature on the dynamics of arterial FINDINGS in SIDE_EFFECT patients working at the Trekhgornaya Manufactura plant.,1,3
Antibiotic resistance in vitro of staphylocicci treated with PHENOTYPE of COMPOUND with neomycin.,7,6
Dental PHENOTYPE in children following maternal PHENOTYPE.,1,3
The gamma GENE in SIDE_EFFECT.,6,4
Aldosterone PHENOTYPE in SIDE_EFFECT.,7,6
Comparative studies of enzymes related to GENE BIOLOGICAL_PROCESS in higher plants.,7,6
Subarachnoid PHENOTYPE occurring 5 times from an PHENOTYPE of the brain stem.,3,5
Spontaneous PHENOTYPE of oscillometric quotients (Gross); contribution to functional asymmetry of extremity PHENOTYPE.,1,3
SIDE_EFFECT in unilateral ascending GENE infections and essential hypertension in children.,1,3
The kinetics of cardiac glycoside PHENOTYPE of BIOLOGICAL_PROCESS in human erythrocytes.,15,2
Acute polyneuritis (Landry's SIDE_EFFECT) after COMPOUND therapy.,9,4
Disturbances of fetal GENE rate during PHENOTYPE.,7,6
Effect of hypophysectomy on the changes in adenylic acid deaminase activity and nuclear ribonucleic acid BIOLOGICAL_PROCESS of rat GENE caused by 3'-methyl-4-dimethylaminoazobenzene injections.,2,5
Newer clinical observations on a large number of patients with GENE PHENOTYPE.,1,3
A comparison of the effect of COMPOUND and growth hormone on the body and organ weights and composition and the arginase and phosphatases of the kidney and liver of the FINDINGS mouse.,22,1
Blood PHENOTYPE in the extremity in acute PHENOTYPE with special reference to the function of arteriovenous anastomoses; studies on unanesthetized dog after carotid ligation.,1,3
A new intramuscular preparation of COMPOUND (COMPOUND).,8,5
It is suggested that the primary function of microtubules in BIOLOGICAL_PROCESS in the Rana pipiens tadpole is the maintenance of GENE shape.,1,3
Studies on the experimental pathogenicity of the lymphocytic choriomeningitis virus. GENE. A directly visible inflammatory reaction in the mouse. Viral PHENOTYPE of the hind leg.,7,6
Hypercholesteremia and SIDE_EFFECT induced in rabbits by purified high fat rations devoid of COMPOUND.,1,3
Acetylmethylcarbinol production and the classification of aeromonads associated with PHENOTYPE PHENOTYPE of ectothermic vertebrates.,11,2
Hydro-electrolytic PHENOTYPE in SIDE_EFFECT.,7,6
A quantitative measurement of the PHENOTYPE caused by PHENOTYPE in dogs.,1,3
The corticoid treatment of bronchial asthma and symptomatic GENE PHENOTYPE.,8,5
The hypothalamo-hypophysial neurosecretory GENE in experimental SIDE_EFFECT in the rat.,1,3
Thin layer chromatography separation and semi-quantitative determination of GENE phenylalanine as procedure for the systematic screening of phenylketonuria in FINDINGS infants.,2,5
It is postulated that the B chain interacts with albumin to enable solubilization of the chain and that inhibition of insulin action on GENE may occur as a result of competition for cellular GENE sites by the B chain.,3,5
Theory of stationary biomasses subject to the action of parasites. Ecology of the nosological GENE of Manson's PHENOTYPE.,8,5
The mycoplasma-like gray lung and rat SIDE_EFFECT agents were indistinguishable in fine structure and location in infected GENE lung.,2,5
High SIDE_EFFECT of the intestine in adult consecutive to PHENOTYPE during fetal life.,1,3
The effect of COMPOUND on alimentary PHENOTYPE.,13,2
Response of the level of acid mucopolysaccharides in GENE granulation tissue to COMPOUND.,2,5
Benign retention GENE; the mechanism of the intermittent GENE in constitutional hepatic dysfunction; with report of a case.,7,6
Primary and PHENOTYPE PHENOTYPE of the ovary.,2,5
The basic peculiarities of viruses of avian PHENOTYPE and PHENOTYPE.,1,3
Characteristics of sodium and COMPOUND excretion in urine of rats with liver GENE.,3,5
The concentration of O2 and of GENE in the venous GENE of patients with arteritis or varices in the evaluation of peripheral circulation?.,3,5
METABOLITE PHENOTYPE in the organism of children with various allergic conditions.,3,5
Indications and contraindications of cardioversion of GENE rhythm PHENOTYPE.,1,3
Hematic PHENOTYPE and PHENOTYPE of the testes.,2,5
Effect of lysergic acid COMPOUND and of its COMPOUND derivative on diuresis in normal dogs and in burns.,11,2
"The ""inversion stage"" of experimental GENE amyloidosis determined by the accelerating effect of nitrogen mustard after various lengths of pretreatment with GENE.",1,3
Remote results of treatment of the arterial SIDE_EFFECT GENE with reserpine.,6,4
Determination of protein-bound iodine in GENE or GENE; a simple and rapid method.,3,5
Observations on treatment of cardiovascular GENE SIDE_EFFECT with aqueous penicillin G.,6,4
Electrophoretic SIDE_EFFECT of acid phosphatases of rat GENE on polyacrylamide gels.,2,5
Plasma copper and PHENOTYPE and plasma para-phenylene MOLE_FUNCTION (plasma copper oxidase activity) in kwashiorkor.,4,4
Progesterone and METABOLITE in cyclical oedema and SIDE_EFFECT.,11,2
Morphology and histogenesis of GENE adenomas appearing in mice after introduction of COMPOUND.,2,5
Studies on PHENOTYPE and leukopenia in PHENOTYPE.,7,6
Effect of COMPOUND on the cortical changes at SIDE_EFFECT of the egg of the medaka.,5,3
METABOLITE as prophylactic agent in PHENOTYPE; further contribution according to data in the literature for 1949-1950.,11,2
Probable existence of new Brucella GENEs with a new scheme proposed for representing GENE PHENOTYPE.,2,5
Atmospheric nitrogen fixation by GENE sulfur bacteria during PHENOTYPE on mineral and organic media.,7,6
Complement-fixing autoantibody to GENE in Hashimoto's PHENOTYPE.,11,2
Etiology and PHENOTYPE of SIDE_EFFECT in pityriasis lichenoides chronica.,7,6
Charcot's joint with PHENOTYPE purulent arthritis treated with intra-arterial COMPOUND.,6,4
SIDE_EFFECT frequency analysis in periodic PHENOTYPE.,4,4
Sulfate uptake in Phallusia mamillata Cuvier. Distribution and fate of sulfate and amino acid COMPOUND in the blood. (Research on hemovanadium. GENE.).,3,5
The effect of METABOLITE on water PHENOTYPE in the rat.,13,2
Influence of desoxycorticosterone and METABOLITE on kidney PHENOTYPE in Addison's disease.,11,2
Association of developing SIDE_EFFECT and malignant GENE neoplasia: clinical radiologic study.,2,5
Dressler's postinfarction GENE resistant to METABOLITE therapy treated with phenylbutazone: clinical case.,9,4
The action of COMPOUND on the phosphorylase activity of guinea-pig atria in vitro and of the guinea-pig GENE perfused according to the Langendorff method.,2,5
Differential effects of COMPOUND on L-alanine and L-leucine incorpoGENEion into GENE pituitary proteins.,5,3
Significance of endogenous COMPOUND in arteriosclerosis; synthesis in arterial GENE.,11,2
Release of gastrin in response to bathing the pyloric SYMPTOMS with COMPOUND.,2,5
Persistent PHENOTYPE in GENE of the monkey associated with Leydig cell hyperplasia induced by gonadotrophins.,3,5
Autonomic responses as a pronostic GENE in chlorpromazine therapy of PHENOTYPE.,6,4
On the use of antibiotics in surgical therapy of PHENOTYPE PHENOTYPE.,6,4
A study of the reaction between human GENE and its homologous equine MOLE_FUNCTION through the medium of light scattering.,2,5
METABOLITE in massive doses and 6-mercaptopurine in the treatment of acute leucemias in adult; possibility of producing successive PHENOTYPE.,6,4
Effects of COMPOUND prophylaxis on the tuberculin response and the local lesion following GENE vaccination of adults.,9,4
Fixed eruption due to COMPOUND and COMPOUND.,12,2
Whereas the maximal rates of gluconeogenesis from COMPOUND and pyruvate were similar in GENE and kidney.,3,5
Multiple PHENOTYPE of the basal GENE type with sudoriparous majority.,3,5
Influence of dietary METABOLITE on incidence of GENE calculi in sheep.,6,4
Modification of alkaline reserve during oxygen therapy of PHENOTYPE with SIDE_EFFECT.,6,4
Leukemia-cell GENE GENE not affect tumor growth under similar conditions.,29,2
Lack of GENE oxidase in yeast cells deficient in METABOLITE.,7,6
Malignancy of PHENOTYPE and PHENOTYPE in patients under 30 years of age.,2,5
Cytological and leukemio-pathological problems concerning the Yoshida GENE (a monocytic PHENOTYPE of the rat).,2,5
Demonstration of MOLE_FUNCTION in the rat kidney and liver: GENE effect of cytochrome C.,5,3
Atrophy of the cerebellum with oculocutaneous and bronchial PHENOTYPE as a familial GENE.,3,5
No direct effects on the duration of the GENE or macromolecular synthesis were demonstrable at a concentration of COMPOUND which completely inhibited mitosis.,15,2
The effect of GENE SIDE_EFFECT on the stomach-emptying time in the rat.,1,3
Histologic evidence for the synthesis of GENE in lymphocytes following parenteral injection of GENE.,3,5
On clinical-anatomical characteristics of SIDE_EFFECT in chronic septic SIDE_EFFECT.,7,6
Oxidative assimilation and PHENOTYPE of COMPOUND in Bacillus cereus.,3,5
Biermer GENE in acute PHENOTYPE.,7,6
The use of total thigh GENE procedure for PHENOTYPE of the hip joint.,6,4
Allergic SIDE_EFFECT in a child associated with PHENOTYPE.,13,2
Sulphur and selenium compounds GENE to acetylCOMPOUND and COMPOUND.,7,6
Malignant SIDE_EFFECT of the anterior GENE wall.,3,5
Retropharyngeal PHENOTYPE due to SIDE_EFFECT.,3,5
Butter yellow (dimethylaminoazobenzene) causes degenerative changes in GENE cells accompanied by PHENOTYPE of cytoplasmic structures that stain with basic dyes because they contain ribonucleic acid.,7,6
Therapeutic influence on the METABOLITE concentration in blood GENE in the course of experimental thrombophlebitis.,3,5
Increase in amount of COMPOUND released from GENE wall under raised luminal pressure.,3,5
Arterial pressure changes in experimental renal SIDE_EFFECT dogs following production of femoral SIDE_EFFECT.,3,5
Activation of GENE by a protein-free aqueous extract of heart GENE.,21,0
Study of some viral strains with unusual PHENOTYPE isolated from various cases of human SIDE_EFFECT.,1,3
Quantitative evaluation of plasmatic and GENE lipids in intact rats treated with METABOLITE.,6,4
Although the patients with severe SIDE_EFFECT GENE as much or more atrophy than the rheumatoid arthritic patients.,1,3
Sulfhydryl content of GENE in rats and guinea pigs treated with METABOLITE or corticotropin.,3,5
Effects of 2-pyridinium aldoxine methochloride and METABOLITE in relation to elevation of GENE pH in soman-poisoned dogs.,6,4
Oxidation of leucine by rat GENE and GENE.,2,5
SIDE_EFFECT of large PHENOTYPE of the jaws.,3,5
Sex differences in SIDE_EFFECT as a clinicostatistical FINDINGS.,11,2
Prolonged postirradiation incubation resulted in a net PHENOTYPE of GENE hexose.,3,5
Observations on the influence of orotic acid on galactose metabolism in GENE PHENOTYPE.,11,2
Therapy of typhoid fever and PHENOTYPE with chloromycetin (COMPOUND).,8,5
Effect of GENE on lipids and glucose in normal and evisceGENEed GENEs and on isolated perfused GENE livers.,5,3
Post-alcoholic SIDE_EFFECT and PHENOTYPE in an African child.,1,3
The syndrome of acute central PHENOTYPE; with special reference to the mechanisms involved in PHENOTYPE of cervical spine.,3,5
Trial of an oral antidiabetic (COMPOUND or GENE).,8,5
Effects of bathing media upon intracellular PHENOTYPE of glycine and upon BIOLOGICAL_PROCESS.,13,2
The use of COMPOUND and COMPOUND in the treatment of edema.,6,4
Biochemical disorders in GENE PHENOTYPE.,7,6
On the dependence of GENE GENE volume.,3,5
A comparison of the effectiveness of COMPOUND and chlorpromazine in SIDE_EFFECT.,22,1
Requirements and tentative mechanism for the interaction between soluble and microsomal ribonucleic acid in GENE GENE.,3,5
The effect of concentration and METABOLITE of exposure to oxygen on the immature GENE eye.,1,3
The pyruvate-oxidase GENE in GENE and the tricarboxylic acid cycle.,3,5
Conversion of COMPOUND to METABOLITE derivative of phenylacetamide.,5,3
Effect of PHENOTYPE hormone on human GENE ribonuclease.,3,5
Effect of combined treatment with COMPOUND and growth hormone on muscle GENE in hypophysectomized female rats.,6,4
Autonomic PHENOTYPE to cerebellar stimulation in the decortiGENEe GENE.,6,4
Inhibition of alcohol dehydrogenase from GENE by COMPOUND.,19,0
Portal gas embolism: a prognostic FINDINGS in PHENOTYPE.,11,2
Combination of COMPOUND & licorice in the treatment of PHENOTYPE.,6,4
Effect of variations in GENE COMPOUND concentration on the susceptibility of mice to pentylenetetrazole (metrazol)-induced seizures.,2,5
Studies on arteriosclerosis and endangitis obliterans. GENE. GENE and adenosine triphosphatase in skeletal muscles in peripheral vascular disorders.,11,2
The failure of COMPOUND to alter the metabolism of METABOLITE in dogs and rabbits.,6,4
The effective GENE resistance and the time constant were measured for the longitudinal muscles of the jejunum and PHENOTYPE.,2,5
Various FINDINGS tumors: treatment with COMPOUND and x-ray therapy.,2,5
GENE PHENOTYPE of the upper jaw.,3,5
The immune response in guinea GENE injected with heterologous and altered homologous GENE.,2,5
Lactic acid content in human venous GENE during GENE at high altitude.,3,5
Effects of adiuretin on SIDE_EFFECT in rats treated with COMPOUND.,1,3
A case of PHENOTYPE (PHENOTYPE).,8,5
The isolated fragment of GENE GENE cortex.,2,5
Estimated hepatic GENE flow and bromsulphalein clearance in dogs with experimental SIDE_EFFECT of the liver.,1,3
Activation of GENE adrenal glucose 6-phosphate dehydrogenase by GENE.,20,0
Specific interference with Coxsackie virus SIDE_EFFECT by the B3-carrier state of HeLa cells was shown to be PHENOTYPE to failure of attachment in the instance of Coxsackie B1 virus.,1,3
Effects of METABOLITE upon COMPOUND consumption and water content of kidney slices.,13,2
Several antibiotics GENE PHENOTYPE of bacteria without killing them when present in the range of concentrations of significance in assaying.,15,2
Studies on the effects of COMPOUND in patients with PHENOTYPE.,13,2
Measurement of gastrointestinal protein loss using GENE labeled with COMPOUND.,2,5
Physiology and pathology of the stored GENE. II. Experimental studies on ferritin and hemosiderin content of the liver and GENE under physiological and pathological conditions.,2,5
Reaction of the GENE of intestinal epithelial cells of the rat to the ingestion of a neutral GENE or GENEty acid.,2,5
GENE or exercise in PHENOTYPE; changes of blood circulation subsequent to training as a basis of exercise therapy.,6,4
Diagnostic and prognostic value of SIDE_EFFECT in PHENOTYPE.,7,6
Mutarotase GENE found in lysed human erythrocytes and in GENE.,3,5
Hemorrhage and SIDE_EFFECT in a loop of the GENE as a result of the uncontrolled use of dicoumarin.,12,2
On a particular aspect of the thoracic complications of hepatic echinococcosis: PHENOTYPE of the perforated cupola in the middle pulmonary GENE.,3,5
Hypotonia of PHENOTYPE in 4 cases of myxedema in GENE; its improvement by dessicated thyroid extract.,1,3
Trial treatment of cardiac edema with METABOLITE and COMPOUND.,9,4
Abscess PHENOTYPE in the pituitary fossa associated with a SIDE_EFFECT.,7,6
We suggest that isometric expansion during SIDE_EFFECT causes a decrease in proximal COMPOUND reabsorption that relinquishes filtrate to a more distal site in the nephron and that this site may retain chloride preferentially when hypochloremia or chloride deficiency is present.,3,5
Reduced nicotinamide-adenine dinucleotide GENE of normal human polymorphonuclear leukocytes has properties that would qualify it as the enzyme responsible for the BIOLOGICAL_PROCESS during phagocytosis.,7,6
Urinary lactic GENE activity in SIDE_EFFECT.,11,2
Protein and water contents in the blood GENE of patients PHENOTYPE from diseases of the chest (pleural empyema.,3,5
The fluoro-derivatives of METABOLITE and UTP behaved like the unsubstituted nucleotides on the goldfish intestine but the main effect of 6-azaUDP and large amounts of COMPOUND and uridine was to cause a relaxation.,3,5
The effect of FINDINGS on electrolyte PHENOTYPE in unanaesthetized dogs.,13,2
Content of adrenaline and METABOLITE in the plasma during hypertension induced with COMPOUND in the dog.,6,4
